"prey1reprCost","prey1ctchRate","replicatesNb","prey1extFreq","prey2extFreq","pred1extFreq","prey1densAfterMean","prey1densAfterMax","prey1densAfterMin","prey2densAfterMean","prey2densAfterMax","prey2densAfterMin","predatorDensMean","predatorDensMax","predatorDensMin","prey1growthAfterMean","prey1growthAfterMax","prey1growthAfterMin","prey2growthAfterMean","prey2growthAfterMax","prey2growthAfterMin","predatorGrowthMean","predatorGrowthMax","predatorGrowthMin","prey1catchesMean","prey1catchesMax","prey1catchesMin","prey2catchesMean","prey2catchesMax","prey2catchesMin","prey1catchRateMean","prey1catchRateMax","prey1catchRateMin","prey2catchRateMean","prey2catchRateMax","prey2catchRateMin"
15,0.04,30,0,1,0,4535.2,4581.83333333333,4479.1,0,0,0,768.234615384615,774.4,761.366666666667,0.000153995942819733,0.00928904366302125,-0.00637393740891296,0,0,0,0.000809374549665315,0.00602053253053166,-0.00612131199858939,1586.3,1604.3,1564.66666666667,0,0,0,0.0408037352028651,0.0414446943824798,0.0402124279655499,0,0,0
15,0.05,30,0,1,0,4138.22435897436,4742.46666666667,3311.66666666667,0,0,0,540.533333333333,692.966666666667,445.4,0.0192409566045876,0.0789373633723771,-0.0497422418859333,0,0,0,0.0218188737023733,0.0952496824994594,-0.0753153243722464,1134.77564102564,1448.13333333333,930.066666666667,0,0,0,0.0345305085198252,0.0451889612923648,0.028339856769393,0,0,0
15,0.06,30,0,0,0.8,5459.46794871795,5567.1,5226.63333333333,4235.43846153846,4373.96666666667,4106.96666666667,113.973076923077,136.266666666667,92.0333333333333,0.00501086934580871,0.0297706572926219,-0.020157817940786,0.00425622804777401,0.0792272700939573,-0.0276576875479064,0.0163164191111263,0.036015843611273,-0.0094489710826277,216.042307692308,288.533333333333,165.433333333333,29.4782051282051,73.4333333333333,2.86666666666667,0.00802191629267047,0.00972238009941645,0.00619069778079836,0.00559692109349518,0.00768822601062492,0.00278578779904526
15,0.07,30,0,0,1,5989.58846153846,6019.4,5957.36666666667,5567.10769230769,5581.73333333333,5550.4,0,0,0,0.000420565177150361,0.0110474067870232,-0.00945330001429882,7.28733041486533e-05,0.00453011395123744,-0.00523332057322649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0.08,30,0,0,1,5991.34871794872,6017.96666666667,5942.86666666667,5565.7217948718,5580.63333333333,5549.46666666667,0,0,0,0.000876244006171577,0.0130202713559287,-0.0116229643518369,-1.22466070239448e-05,0.00473016660466677,-0.00553020618220047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0.04,30,0,1,0,4403.0641025641,4477.1,4355.76666666667,0,0,0,610.511538461539,617.5,600.2,-0.00019889080228343,0.00525459560483117,-0.00531542579033619,0,0,0,0.00122115096282198,0.0124545805976957,-0.0121712673345822,1261.70897435897,1280.03333333333,1243.9,0,0,0,0.0325463409519215,0.0331726947800544,0.0316608165570487,0,0,0
20,0.05,30,0,0.633333333333333,0.166666666666667,4169.68205128205,4361.13333333333,3865.66666666667,935.484615384615,949.533333333333,925.133333333333,402.191025641026,456.366666666667,361.333333333333,0.00214223326721349,0.0393642375268258,-0.0256249094002843,-0.00362469876762716,0.0772813293503641,-0.105012497327964,0.0093682732129221,0.0333984863343683,-0.0381080966280197,835.532051282051,956.166666666667,750.066666666667,1.84358974358974,5.3,0.733333333333333,0.0262338504544397,0.0298093203957497,0.0235821478422251,0.00861918317360133,0.0152321285163391,0.00571110307281874
20,0.06,30,0,0,1,5843.81153846154,5877.83333333333,5820.8,5567.09487179487,5580.86666666667,5554,0,0,0,0.000526273611283751,0.00870397000046207,-0.00409577794460508,5.01157549751207e-05,0.00300753409867266,-0.00376728840502213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0.07,30,0,0,1,5450.2141025641,5854.23333333333,4567.73333333333,5184.89871794872,5538.36666666667,4424.9,9.50641025641026,63.8666666666667,0,0.0332043298338614,0.0855480369199135,-0.00287067128787269,0.0197759434162061,0.0445194675939083,0.000299051585799066,-0.0081975328135911,0,-0.0444147037830121,10.2448717948718,90.3333333333333,0,8.02820512820513,60.4666666666667,0,0.000978521430306096,0.00633496261653254,0,0.000615199214432365,0.00386145646029645,0
20,0.08,30,0.366666666666667,0,0,39.8884615384615,43.4666666666667,38,4021.67051282051,4066.23333333333,3969.26666666667,312.051282051282,320.1,304.833333333333,-0.00380799253879688,0.0653530371852728,-0.0474162107234009,0.000158872461530748,0.0071018492336869,-0.00492602916728167,0.000638734510693951,0.0106621784516384,-0.0116896117609925,11.7564102564103,13.4,10.6666666666667,633.292307692308,651.566666666667,616.066666666667,0.0221895318467532,0.027633664184771,0.0191720768750886,0.016930882471357,0.0174473097330948,0.0164607326361062
